country,name,longName,foundingDate,population,capital,largestCity,area
41,Afghanistan,Islamic Republic of Afghanistan,8/19/1919,32564342,Kabul,Kabul,652231.9299999999km
42,Afghanistan,font-size:88%;,8/19/1919,32564342,Kabul,Kabul,652231.9299999999km
297,Bangladesh,People's Republic of Bangladesh,8/14/1947,168957745,Dhaka,Dhaka,147570.43km
298,Bangladesh,People's Republic of Bangladesh,3/23/1956,168957745,Dhaka,Dhaka,147570.43km
337,Belize,Belize,9/21/1981,347369,Belmopan,Belize City,22965.53km
341,Benin,Republic of Benin,8/1/1960,10879829,Porto-Novo,Cotonou,114763km
406,Bolivia,Plurinational State of Bolivia,1825-08-06,11410651,Sucre,Santa Cruz de la Sierra,1098582.17km
407,Bolivia,Plurinational State of Bolivia,1847-07-21,11410651,Sucre,Santa Cruz de la Sierra,1098582.17km
423,Brazil,Federative Republic of Brazil,1822-09-07,205338000,Brasília,São Paulo,8514876.23km
424,Brazil,Federative Republic of Brazil,1825-08-29,205338000,Brasília,São Paulo,8514876.23km
612,the People's Republic of China,People's Republic of China,1/1/1912,1376049000,Beijing,Shanghai,9597004.129999999km
833,Curaçao,Country of Curaçao,10/10/2010,152760,Willemstad,Willemstad,443.926km
904,Denmark,Kingdom of Denmark,1849-06-05,5707251,Copenhagen,Capital city,42923.5km
1114,East Timor,Democratic Republic of Timor-Leste,2/10/1943,1201542,Dili,Dili,14874.369999999999km
1115,East Timor,Democratic Republic of Timor-Leste,9/2/1945,1201542,Dili,Dili,14874.369999999999km
1136,Ecuador,Republic of Ecuador,1809-08-10,16144000,Quito,Guayaquil,283563.56km
1137,Ecuador,Republic of Ecuador,1822-05-24,16144000,Quito,Guayaquil,283563.56km
1142,El Salvador,Republic of El Salvador,1821-09-15,6377195,San Salvador,San Salvador,21041.16km
1143,El Salvador,Republic of El Salvador,1823-07-01,6377195,San Salvador,San Salvador,21041.16km
1200,Equatorial Guinea,Republic of Equatorial Guinea,10/12/1968,1,Malabo,"Bata, Equatorial Guinea",28049.699999999997km
1382,the Federated States of Micronesia,Federated States of Micronesia,11/3/1986,106104,Palikir,Weno,701.89km
1397,Fiji,Republic of Fiji,10/10/1970,858038,Suva,Suva,18275.039999999997km
1398,Fiji,Republic of Fiji,10/7/1987,858038,Suva,Suva,18275.039999999997km
1558,Georgia,Georgia,5/26/1918,3729500,Tbilisi,Capital city,69699.48999999999km
1570,Germany,Federal Republic of Germany,0962-02-02,81459000,Berlin,Capital city,357023.73km
